iter	Passed	Remaining
0	1	154
1	6	338
2	9	313
3	10	262
4	12	242
5	14	220
6	15	204
7	16	191
8	18	182
9	23	211
10	24	200
11	26	191
12	27	185
13	29	179
14	30	173
15	31	167
16	33	161
17	38	175
18	39	169
19	41	164
20	42	159
21	43	154
22	44	150
23	46	146
24	47	142
25	48	139
26	50	136
27	52	133
28	53	131
29	54	128
30	56	126
31	58	123
32	59	120
33	61	119
34	63	117
35	65	115
36	66	113
37	72	117
38	73	115
39	75	112
40	76	110
41	77	106
42	79	105
43	81	103
44	82	101
45	91	107
46	93	105
47	95	103
48	97	101
49	98	98
50	100	96
51	107	99
52	110	98
53	112	95
54	113	92
55	114	90
56	116	87
57	134	97
58	136	94
59	137	91
60	146	93
61	149	91
62	151	88
63	153	86
64	155	83
65	158	81
66	159	78
67	161	75
68	162	73
69	163	70
70	165	67
71	166	64
72	167	61
73	168	59
74	174	58
75	176	55
76	181	54
77	182	51
78	184	49
79	191	47
80	196	45
81	197	43
82	199	40
83	207	39
84	209	36
85	211	34
86	212	31
87	213	29
88	215	26
89	220	24
90	222	21
91	223	19
92	224	16
93	226	14
94	228	12
95	229	9
96	231	7
97	236	4
98	240	2
99	243	0
